,index,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Fajr_start,Fajr_end,Dhuhr_start,Dhuhr_end,Asr_start,Asr_end,Maghrib_start,Maghrib_end,Isha_start,Isha_end,SleepStart,SleepEnd,NapStart,NapEnd
21,2023-05-22,02:12 AM,04:41,12:39 PM,04:55 PM,08:37 PM,10:52 PM,03:42 AM,03:47 AM,12:39 PM,12:44 PM,04:55 PM,05:00 PM,08:37 PM,08:42 PM,10:52 PM,10:57 PM,10:12 PM,02:12 AM,01:09 PM,02:09 PM
22,2023-05-23,02:12 AM,04:40,12:39 PM,04:56 PM,08:39 PM,10:53 PM,03:42 AM,03:47 AM,12:39 PM,12:44 PM,04:56 PM,05:01 PM,08:39 PM,08:44 PM,10:53 PM,10:58 PM,10:12 PM,02:12 AM,01:09 PM,02:09 PM
23,2023-05-24,02:11 AM,04:38,12:39 PM,04:56 PM,08:40 PM,10:54 PM,03:42 AM,03:47 AM,12:39 PM,12:44 PM,04:56 PM,05:01 PM,08:40 PM,08:45 PM,10:54 PM,10:59 PM,10:11 PM,02:11 AM,01:09 PM,02:09 PM
24,2023-05-25,02:11 AM,04:37,12:39 PM,04:57 PM,08:42 PM,10:54 PM,03:42 AM,03:47 AM,12:39 PM,12:44 PM,04:57 PM,05:02 PM,08:42 PM,08:47 PM,10:54 PM,10:59 PM,10:11 PM,02:11 AM,01:09 PM,02:09 PM
25,2023-05-26,02:11 AM,04:36,12:40 PM,04:57 PM,08:43 PM,10:55 PM,03:42 AM,03:47 AM,11:40 AM,01:40 PM,04:57 PM,05:02 PM,08:43 PM,08:48 PM,10:55 PM,11:00 PM,10:11 PM,02:11 AM,01:10 PM,02:10 PM
26,2023-05-27,02:10 AM,04:35,12:40 PM,04:58 PM,08:44 PM,10:55 PM,03:42 AM,03:47 AM,12:40 PM,12:45 PM,04:58 PM,05:03 PM,08:44 PM,08:49 PM,10:55 PM,11:00 PM,10:10 PM,02:10 AM,01:10 PM,02:10 PM
27,2023-05-28,02:10 AM,04:34,12:40 PM,04:58 PM,08:45 PM,10:56 PM,03:42 AM,03:47 AM,12:40 PM,12:45 PM,04:58 PM,05:03 PM,08:45 PM,08:50 PM,10:56 PM,11:01 PM,10:10 PM,02:10 AM,01:10 PM,02:10 PM
28,2023-05-29,02:10 AM,04:33,12:40 PM,04:59 PM,08:47 PM,10:57 PM,03:42 AM,03:47 AM,12:40 PM,12:45 PM,04:59 PM,05:04 PM,08:47 PM,08:52 PM,10:57 PM,11:02 PM,10:10 PM,02:10 AM,01:10 PM,02:10 PM
29,2023-05-30,02:09 AM,04:32,12:40 PM,04:59 PM,08:48 PM,10:57 PM,03:42 AM,03:47 AM,12:40 PM,12:45 PM,04:59 PM,05:04 PM,08:48 PM,08:53 PM,10:57 PM,11:02 PM,10:09 PM,02:09 AM,01:10 PM,02:10 PM
30,2023-05-31,02:09 AM,04:31,12:40 PM,05:00 PM,08:49 PM,10:58 PM,03:42 AM,03:47 AM,12:40 PM,12:45 PM,05:00 PM,05:05 PM,08:49 PM,08:54 PM,10:58 PM,11:03 PM,10:09 PM,02:09 AM,01:10 PM,02:10 PM
